Code,Description
71046,"X-ray, chest, 2 views"
73721,"MRI lower extremity joint, noncontrast"
70450,"CT head or brain, noncontrast"
76705,"Ultrasound, abdomen, limited"
85025,Complete blood count (CBC)
80053,Comprehensive metabolic panel (CMP)
71275,CT chest with angiography (CTA)
72110,"X-ray, lumbosacral spine, 4 or 5 views"
99213,"Established patient office or other outpatient visit, moderate complexity"
99204,"New patient office or other outpatient visit, moderate complexity"
